,Comment
0,"Dub maro jaato 😢😢.
Tumse tumare ladkiya nhi bchaii gyi. Aur din bhar jat jat krke aapas m bhidte rehte ho.
Tumse dilli na gheri gayi. Warna wo brjjbhusan.
Aaj jaat pichde they aur ab bi h ye sabit karwa hi dia tumne gadiye k piche jat likhwane se bahaduri na hoya kare.
Ab thukegi tumpe duniya.. Chori tumari ijjat lutwa ri th. Tmpe kim bi nhh paad ppaey tmm"
1,Haar gye bechare
2,Dhamki mili pahalwano ko aur sab manage kr liya gaya. Ab kuch nhi hone wala sab bhul jayenge dhire dhire.
3,Jaato pr ye boj rhega ki vo apni hi vyavstha se nyay nhi le paaye... Kya fayda jat jat chillane ka jb hum nyaye hi nhi dila pa rhe...
4,Pahlwan jante h kuch nhi kr payenge uska
5,Logo ko ullu bana ke ye sab mahanubhav chal diye apne kaam pr
6,"Ye Bhabhita Fogat naam ki mahila ko Brijh Bhushan se shayd maza nahi aya tha 😂😂😂😂
#shaheenbaghprotest yaad aaya hogha inn behen ke lowde Strike karne waale so called sympathy gainer 😂😂😂"
7,इनके विरुद्ध तो सख्त एक्शन लेना चाहिए था।
8,"bina trial khele sirf ek boyt ke baad Okympic jaane ka mauka mil gaya  Yehi to chahte the ye besharm anpad jaahil jaat pehelwan haryana ke.  
Sahi me besharmi karo to aisi. 
Thoo bai inpe aur inke jaiso pe. Kabhi nhi sudharenge ye. Inki soch me ki chotapan hai."
9,"Ye sb drama kr rahe the, inko bs chhut chahiye tha qualifying round se, that's it."
10,Trail se chut mil gyi inko lalchi ghtiya..trail k liye kuch b kr skti h ye
11,Mujhe cricket khelna hai chalo jantar mantar
12,Asli baat yogrshwar ki tumna gool maar di
13,"Saale Teri aukaat kya hai,,, unhone olympic mai medal Jeeta hai,, tu district mai bhi Jeet ke bta de,, baat ke kra hai, pagal"
14,Jaka dekh pura desh inka sath ha
15,Doshi to sarkar dwara bachaye jaa rhe h to kaise doshi bn skte h.... Padhe likhe........ 😂
16,Muje doubt h kyoki ye andolan kahi se lg nahi raha tha.
17,Inko bas trial se chhut chahiye thi mil gayi dharna khatm pati patni sahit puri faugat family qualify ho gye...
18,Sab propogenda faila rahi hai hai…jab inke sath hua tab complaint nhi ki ab yaha tamasha kar rahi hai
19,Amit shah se meeting ke baad kuch to hua hai🧐
20,Ha ha ha ha ha
21,Ye 6 pahalwan Bhasma-sur hai ....junior ke right khaa rahe hai.
22,*आन्दोलन ऑरगोनाईजर* द्वारा संचालित था क्या  आन्दोलन  ?
23,❤❤❤
24,बाबा जी का ठुल्लू!
25,​@Chaudhary Mitulor chalo dala to ye ho gaya to fir ye bhi bada do ki dalli kon hue apke hisab se ???
26,"​@Chaudhary Mitulor ese to Brij Bhushan 6 baar election jeeta hua hai fir to Brij Bhushan acha banda ho gaya agar Election ke basis par person ko dekh rahe ho to.
Or ese hi Atiq bhi acha banda ho gaya agar election me jeetne ke purpose se dekh rahe ho to."
27,"​@Chaudhary Mitulkyon Bhai ese word kyon uske liye ??? Kya usne desh ke liye medal nahi jeete kya??
Ya fir sab kuch yahi hai apke liye Jo andolan me bethe the???"
28,Dalla 😂😂 nambar 1 hai yogeshwer 2 baar bjp se lad ke har gaya 3 baar harenga
29,"एक तो इनकी बेचारे दिखने वाली ये फोटोज plz हटा दो, ये हमारे दबंग पहलवान हैं

देखा कैसे अपनी बात मनवा ली आंदोलन करके और सिर्फ ये लोग सच्चे है और बाकी झूठे, इनके medal original हैं और योगेश्वर दत्त, दीपक पूनिया जो ओलंपियन और वर्ल्ड कप गोल्ड मेडलिस्ट हैं. रवि दहिया ने ओलंपिक और वर्ल्ड कप दोनों में मेडल जीते हैं. अंशु मलिक, सोनम मलिक ,सरिता मोरे, अंतिम पंघल इनके medal नकली हैं और भारत सरकार ने दिलाये थे 
और वाह रे govt सिर्फ इन 3+3 को छूट दी"
30,"@dil k alfaaz are oh Bhai National level ke Nay Nay player har saal teyar hote hai.
Junior ko mauka Dena band kar de kya???
Mtlb tumhe sirf itna samgh nahi aa raha hai kya ki games me sab barabar ho kar khelne chaiye.
Or inke level ke or bhi kai pahalwan hai to sirf chhut sirf inko hi kyon???"
31,​@Pardeep Sharmavo log national champion h trial kitni hi bdi baat hogi unke liye ...thoda to dimag lgao
32,"​@sunil rehniwalfir khul kar kyoki nahi kaha inhone ki hume trail me special treatment nahi chaiye.

Khud se mana kar dena chaiye tha ki hume trail me chhut nahi chaiye.

Jabki inke phle ke interview me inhone saaf kaha hua hai ki trail na karaye jaye humse itne"
33,न्यूज़ तो पुरा सुन लो
34,छुट नही मांगी समय मागा
35,Bhagwan v uper se dekh rha h tmko dimag dena bhul gya
36,brij bhusan ka bhusan kat do🤣🤣🤣
37,Farzi case... Aaj kal adhiktar mahila fake case lagane me expert ho gyi hai..
38,Trial me chhut chaiye thi isliye hi Dharma tha or govt ne ye demand poori kar di hai inki.
39,Bhai unko trail me chut mil gai hai Unko yahi chahiye tha
40,Trail mil to gyi
41,Muhammad ne safiya ke sath kya kiya???
42,Muhammad ke raj me 6 saal ki ladkio ki shadi hoti thi vo Rajya bhi kesa hoga tir😂😂
43,kaash sare puncture putro ki freedom of speech k naam p propaganda failane ki azaadi bhi khatam kr de BJP.
44,Pahalwano Dharna khatam mat karo Lund Namaziyo ko bahut ummid hai tumse Kahi Dukh me Lund Namazi Puri Lulli hi Naa kaat le 😀😀
45,Kisano ko msp mil gai ab apke wade poore honge........
46,Manthra is happy now😂
47,Bas... Nikal gayi hawa.😂
48,Funding band ho gayi bs khatam pradarshan
49,मतलब प्रोपगेंडा था फेल हो गया 💯☑️
50,"​@sunil rehniwalइनके पास कोनसा प्रमाण है, योन शोषण का,"
51,​@Chaudhary MitulAgar aarop sachche hote toh voh ladai krti lekin isko piche se paise khilwae the abhi pta chl gya he
52,Oh 😂😂 andhbhagat 🤣🤣 sarkar bjp ki pais congress paisa dengi ed cbi kha gayi fir 🤣🤣
53,Kya evidence hai tumare pass 😂
54,Abe sale wahi to bol raha hu 😂😂😘
55,सबको पता है इनके पीछे 17 विपक्षी दल हैं मोदी सरकार को गिराने के लिए ही ये फेक प्रोपोगेंडा किया गया 🙄🙄🙄
56,Mudi hai toh mumkin hai 😊😊
57,textOriginal
58,"Dub maro jaato 😢😢.
Tumse tumare ladkiya nhi bchaii gyi. Aur din bhar jat jat krke aapas m bhidte rehte ho.
Tumse dilli na gheri gayi. Warna wo brjjbhusan.
Aaj jaat pichde they aur ab bi h ye sabit karwa hi dia tumne gadiye k piche jat likhwane se bahaduri na hoya kare.
Ab thukegi tumpe duniya.. Chori tumari ijjat lutwa ri th. Tmpe kim bi nhh paad ppaey tmm"
59,Haar gye bechare
60,Dhamki mili pahalwano ko aur sab manage kr liya gaya. Ab kuch nhi hone wala sab bhul jayenge dhire dhire.
61,Jaato pr ye boj rhega ki vo apni hi vyavstha se nyay nhi le paaye... Kya fayda jat jat chillane ka jb hum nyaye hi nhi dila pa rhe...
62,Pahlwan jante h kuch nhi kr payenge uska
63,Logo ko ullu bana ke ye sab mahanubhav chal diye apne kaam pr
