Text,LABEL,Category
"Dub maro jaato 😢😢.
Tumse tumare ladkiya nhi bchaii gyi. Aur din bhar jat jat krke aapas m bhidte rehte ho.
Tumse dilli na gheri gayi. Warna wo brjjbhusan.
Aaj jaat pichde they aur ab bi h ye sabit karwa hi dia tumne gadiye k piche jat likhwane se bahaduri na hoya kare.
Ab thukegi tumpe duniya.. Chori tumari ijjat lutwa ri th. Tmpe kim bi nhh paad ppaey tmm",Hate Speech,Caste-Based Hate
Dhamki mili pahalwano ko aur sab manage kr liya gaya. Ab kuch nhi hone wala sab bhul jayenge dhire dhire.,Normal Text,None
Jaato pr ye boj rhega ki vo apni hi vyavstha se nyay nhi le paaye... Kya fayda jat jat chillane ka jb hum nyaye hi nhi dila pa rhe...,Hate Speech,Caste-Based Hate
Pahlwan jante h kuch nhi kr payenge uska,Normal Text,None
Logo ko ullu bana ke ye sab mahanubhav chal diye apne kaam pr,Normal Text,None
"Ye Bhabhita Fogat naam ki mahila ko Brijh Bhushan se shayd maza nahi aya tha 😂😂😂😂
#shaheenbaghprotest yaad aaya hogha inn behen ke lowde Strike karne waale so called sympathy gainer 😂😂😂",Hate Speech,Gender-Based Hate
"bina trial khele sirf ek boyt ke baad Okympic jaane ka mauka mil gaya  Yehi to chahte the ye besharm anpad jaahil jaat pehelwan haryana ke.  
Sahi me besharmi karo to aisi. 
Thoo bai inpe aur inke jaiso pe. Kabhi nhi sudharenge ye. Inki soch me ki chotapan hai.",Hate Speech,Caste-Based Hate
"Ye sb drama kr rahe the, inko bs chhut chahiye tha qualifying round se, that's it.",Normal Text,None
Trail se chut mil gyi inko lalchi ghtiya..trail k liye kuch b kr skti h ye,Normal Text,None
Mujhe cricket khelna hai chalo jantar mantar,Normal Text,None
"Saale Teri aukaat kya hai,,, unhone olympic mai medal Jeeta hai,, tu district mai bhi Jeet ke bta de,, baat ke kra hai, pagal",Normal Text,None
Doshi to sarkar dwara bachaye jaa rhe h to kaise doshi bn skte h.... Padhe likhe........ 😂,Hate Speech,Political Hate
Muje doubt h kyoki ye andolan kahi se lg nahi raha tha.,Normal Text,None
Sab propogenda faila rahi hai hai…jab inke sath hua tab complaint nhi ki ab yaha tamasha kar rahi hai,Normal Text,None
Amit shah se meeting ke baad kuch to hua hai🧐,Normal Text,None
Ye 6 pahalwan Bhasma-sur hai ....junior ke right khaa rahe hai.,Normal Text,None
​@Chaudhary Mitulor chalo dala to ye ho gaya to fir ye bhi bada do ki dalli kon hue apke hisab se ???,Normal Text,None
"​@Chaudhary Mitulor ese to Brij Bhushan 6 baar election jeeta hua hai fir to Brij Bhushan acha banda ho gaya agar Election ke basis par person ko dekh rahe ho to.
Or ese hi Atiq bhi acha banda ho gaya agar election me jeetne ke purpose se dekh rahe ho to.",Normal Text,None
"​@Chaudhary Mitulkyon Bhai ese word kyon uske liye ??? Kya usne desh ke liye medal nahi jeete kya??
Ya fir sab kuch yahi hai apke liye Jo andolan me bethe the???",Normal Text,None
Dalla 😂😂 nambar 1 hai yogeshwer 2 baar bjp se lad ke har gaya 3 baar harenga,Hate Speech,Political Hate
